english,hsk_level,chinese,pinyin
Ignorance of the law is no excuse.,3,不懂法律不是藉口。,bù dǒng fǎ lu:4 bú shì jiè kǒu。
Hatred often springs from fear.,3,仇恨常常源於恐惧.,chóu hèn cháng cháng yuán yū kǒng jù.
When does the new system become effective?,3,新制度何时生效？,xīn zhì dù hé shí shēng xiào？
He slammed the lid down.,3,他砰的一声盖上了盖子.,tā pēng de yī shēng gě shàng le gài zi.
Do you like being stared at?,3,你愿意人家盯著你看吗?,nǐ yuàn yì rén jiā dīng著 nǐ kàn ma?
A fit of dizziness came over her.,3,她感到一阵头晕目眩.,tā gǎn dào yī zhèn tóu yūn mù xuàn.
There are a lot of worms in the soil.,3,泥土中有许多蠕虫.,ní tǔ zhòng yǒu xǔ duō rú chóng.
The axis of a circle is its diameter.,3,圆的轴线是其直径.,yuán de zhú xiàn shì qí zhí jìng.
How should we style her?,3,我们应该怎样称呼她呢?,wǒ men yīng gāi zěn yàng chēng hu tā ne?
Is this bracelet genuine gold?,3,这个手镯是纯金的吗？,zhè gè shǒu zhuó shì chún jīn de ma？
Brace yourself for a shock!,3,振作起来，面对冲击！,zhèn zuò qǐ lai， miàn duì chōng jī！
Did you get my postcard?,3,你收到我的明信片了吗?,nǐ shōu dào wǒ de míng xìn piàn le ma?
I'm hoping to visit Europe.,3,我正盼望去访问欧洲。,wǒ zhèng pàn wàng qù fǎng wèn ōu zhōu。
A general ranks a captain.,3,将军的级别比上尉高。,jiāng jūn de jí bié bì shàng wèi gāo。
The stables swarmed with flies.,3,马厩里到处都是苍蝇.,mǎ jiù lǐ dào chù dōu shì cāng ying.
Don't you dare try and get out of the washing-up!,3,你敢逃避洗碗碟!,nǐ gǎn táo bì xǐ wǎn dié!
Having plenty of money; prosperous.,3,有足够的钱的；富裕的,yǒu zú gòu de qián de； fù yù de
Are you willing to accept responsibility?,3,你愿意承担责任吗?,nǐ yuàn yì chéng dān zé rèn ma?
Fish take in oxygen through their gills.,3,鱼通过鳃摄取氧气.,yú tōng guò sāi shè qǔ yǎng qì.
What if he comes back now?,3,如果他现在回来怎么办？,rú guǒ tā xiàn zài huí lai zěn me bàn？
"Bon voyage, Mr.Jones.",3,琼斯先生，一路顺风。,qióng sī xiān sheng， yī lù shùn fēng。
A fit of dizziness came over her.,3,她感到一阵头晕目眩.,tā gǎn dào yī zhèn tóu yūn mù xuàn.
The new boss is a mean sod!,3,新来的上司是个大坏蛋!,xīn lái de shàng si shì gè dà huài dàn!
Highly pleased; elated.,3,洋洋得意的；兴高采烈的,yáng yáng dé yì de； xìng gāo cài liè de
Leave the dried beans to soak overnight.,3,把这些乾豆子泡一夜.,bǎ zhè xie qián dòu zi pào yī yè.
What are your earnings after tax?,3,你税后的工资是多少？,nǐ shuì hòu de gōng zī shì duō shao？
Greece is located in the south of Europe.,3,希腊位于欧洲南部。,xī là wèi yú ōu zhōu nán bù。
"Now, men are enlisting for the air force.",3,现正在招募空军。,xiàn zhèng zài zhāo mù kōng jūn。
Misfortune tests the sincerity of friends.,3,【谚】患难识知交。,【 yàn】 huàn nàn zhì zhī jiāo。
He has a touch of madness in his composition.,3,他有点疯疯癫癫。,tā yǒu diǎn fēng fēng diān diān。
That last remark was a hit at me.,3,最後的话是对我的讽刺.,zuì後 de huà shì duì wǒ de fèng cì.
The bird cocked its head to/on one side.,3,鸟把头斜向[到]一侧.,niǎo bǎ tóu xié xiàng[ dào] yī zhāi.
Do you observe Christmas?,3,你有过圣诞节的习俗吗？,nǐ yǒu guò Shèng dàn jié de xí sú ma？
You seem very chirpy today!,3,今天你好像很快活似的!,jīn tiān nǐ hǎo xiàng hěn kuài huó sì de!
It was a fine day once the mist had cleared.,3,雾消散後是个晴天.,wù xiāo sàn後 shì gè qíng tiān.
"This mountain is 1,400 meters above sea level.",3,"这座山海拔1,400米。","zhè zuò shān hǎi bá1,400 mǐ。"
Leave the dried beans to soak overnight.,3,把这些乾豆子泡一夜.,bǎ zhè xie qián dòu zi pào yī yè.
He is a greedy capitalist.,3,他是一个贪婪的资本家。,tā shì yī gè tān lán de zī běn jiā。
Do you grasp the point of what I said?,3,你领会我说的意思吗？,nǐ lǐng huì wǒ shuō de yì si ma？
What an unlucky train of events!,3,多么不幸的一连串事件!,duō me bù xìng de yī lián chuàn shì jiàn!
Are there two pictures on the wall?,3,墙上有两张图画吗？,qiáng shàng yǒu liǎng zhāng tú huà ma？
Do you wish me to serve dinner now?,3,您想让我现在开饭吗?,nín xiǎng ràng wǒ xiàn zài kāi fàn ma?
Mind you don't cut your fingers off!,3,小心别切断了手指头!,xiǎo xīn biè qiē duàn le shǒu zhǐ tou!
Wood often swells when wet.,3,木材潮湿後往往会膨胀.,mù cái cháo shī後 wǎng wǎng kuài péng zhàng.
How much is a jar of peanut butter?,3,一瓶花生酱多少钱？,yī píng huā shēng jiàng duō shao qián？
We are scornful of the forces of convention.,3,我们藐视习惯势力。,wǒ men miǎo shì xí guàn shì li。
A wide road; a wide necktie.,3,宽阔的道路；宽大的领带,kuān kuò de dào lù； kuān dà de lǐng dài
She cleaned the dirt from her finger-nails.,3,她从指甲里剔掉污垢.,tā zòng zhī jia lǐ tī diào wū gòu.
England lost to Australia.,3,英格兰队负于澳大利亚队。,yīng gé lán duì fù yú ào dà lì yà duì。
Full of news; informative.,3,充满信息的；内容充实的,chōng mǎn xìn xī de； nèi róng chōng shí de
He scoured off the dirt from the floor.,3,他擦去地板上的污垢。,tā cā qù dì bǎn shàng de wū gòu。
Would you please spell your last name?,3,请你拼一下你的姓好吗?,qǐng nǐ pīn yī xià nǐ de xìng hào ma?
The dregs have settled at the bottom of the bottle.,3,渣滓都沉到瓶底了.,zhā zǐ dōu chén dào píng dǐ le.
How many hours' sleep do you need?,3,你需要几个小时的睡眠?,nǐ xū yào jǐ ge xiǎo shí de shuì mián?
Aluminum foil can be used for wrapping food.,3,铝箔用于包装食物。,lu:3 bó yòng yú bāo zhuāng shí wù。
She used a chisel to prise off the lid.,3,她用錾子来把盖子凿开.,tā yòng zàn zi lái bǎ gài zi zuò kāi.
Feeling repugnance or loathing.,3,感到厌恶的，感到憎恨的,gǎn dào yàn wù de， gǎn dào zēng hèn de
The party was postponed until 8 o'clock.,3,晚会推迟到8点举行。,wǎn huì tuī chí dào8 diǎn jǔ xíng。
"You look simply divine, darling!",3,"你简直动人极了, 亲爱的!","nǐ jiǎn zhí dòng rén jí le,  qīn ài de!"
Lemons are rich in vitamin C.,3,柠檬含丰富的维生素C。,níng méng hán fēng fù de wéi shēng sùC。
The water deepened after the dam was built.,3,堤坝建成後水已加深.,dī bà jiàn chéng後 shuǐ yǐ jiā shēn.
The river overflowed (its banks).,3,河水泛滥（溢过堤岸）了.,hé shuǐ fàn làn（ yì guò dī àn） le.
Your theory is pure conjecture.,3,你的理论纯粹是主观臆测.,nǐ de lǐ lùn chún cuì shì zhǔ guān yì cè.
Educated; polished; refined.,3,有教养的；文雅的；精炼的,yǒu jiào yǎng de； wén yǎ de； jīng liàn de
The thieves were caught in a police trap.,3,窃贼遭警方用计擒获.,qiè zéi zāo jǐng fāng yòng jì qín huò.
Mosquitoes are carriers of malaria.,3,蚊子是疟疾的传播媒介.,wén zi shì nu:è jí de chuán bō méi jiè.
My feet can hardly reach the pedals.,3,我的脚怎麽也够不著踏板.,wǒ de jué zěn mó yě gòu bù著 tà bǎn.
He missed four meals in succession.,3,他一连4顿没有吃上饭。,tā yī liá4n dùn méi yǒu jí shàng fàn。
What functions can this program perform?,3,这一程序有哪些功能?,zhè yī chéng xù yǒu nǎ xiē gōng néng?
Which brand of toothpaste do you prefer?,3,你爱用什麽牌子的牙膏?,nǐ ài yòng shí mó pái zi de yá gāo?
Which brand of toothpaste do you prefer?,3,你爱用什麽牌子的牙膏?,nǐ ài yòng shí mó pái zi de yá gāo?
The sepals under the flower wilted.,3,花朵下面的萼片枯萎了。,huā duǒ xià mian de è piàn kū wěi le。
Whither the pound sterling?,3,英镑的前途可能会怎样？,yīng bàng de qián tú kě néng kuài zěn yàng？
Some colours reproduce well/badly.,3,有的颜色复制效果好[差].,yǒu de yán sè fù zhì xiào guǒ hào[ cī].
A prosthesis was fitted after the amputation.,3,截肢之後安装了义肢.,jié zhī zhī後 ān zhuāng le yì zhī.
Can I take your measurements?,3,我可以量一下您的尺寸吗？,wǒ kě yǐ liàng yī xià nín de chǐ cun ma？
He is in a bad way after treatment.,3,经过治疗他尚未痊愈。,jīng guò zhì liáo tā shàng wèi quán yù。
Oranges are rich in vitamin C.,3,橙子含有丰富的维生素C.,chéng zi hán yǒu fēng fù de wéi shēng sùC.
Who discovered the conservation of energy?,3,谁发现了能量守恒？,shéi fā xiàn le néng liàng shǒu héng？
"A row, line, series, or range.",3,行列行、列、系列或行列,háng liè xìng、 liè、 xì liè huò háng liè
The net weight of this jar of coffee is 180 grams.,3,这瓶咖啡净重180克。,zhè píng kā fēi jìng zhò1ng80 kè。
Cheese is a solid; milk is a liquid.,3,乾酪是固体，奶是液体。,qián lào shì gù tǐ， nǎi shì yè tǐ。
Danger: rotating blades.,3,"危险: 叶片旋转, 注意安全.","wēi xiǎn:  yè piàn xuán zhuǎn,  zhù yì ān quán."
The olive branch is the emblem of peace.,3,橄榄枝是和平的象征。,gǎn lǎn zhī shì hé píng de xiàng zhēng。
Gentle persuasion is more effective than force.,3,温和的说服胜於压服.,wēn hé de shuō fú shèng yū yà fú.
Do you know the purpose of this urn?,3,你知道这个瓮的用途吗？,nǐ zhī dào zhè gè wèng de yòng tú ma？
The maple leaf is the emblem of Canada.,3,枫叶是加拿大的象征。,fēng yè shì jiā ná dà de xiàng zhēng。
Be there a restaurant car on the train?,3,这列火车上有餐车吗？,zhè liè huǒ chē shàng yǒu cān chē ma？
"`Don't you agree?' `Oh, absolutely!'",3,"‘你同意吧?’‘噢, 当然!’","‘ nǐ tóng yì ba?’‘ ō,  dāng rán!’"
A good diet conduces to good health.,3,良好的饮食有益於健康.,liáng hǎo de yǐn shí yǒu yì yū jiàn kāng.
The prisoner was fastened by a shackle.,3,那个犯人被手铐铐着。,nèi gè fàn rén bèi shǒu kào kào zhuó。
May God deliver us from evil.,3,愿上帝拯救我们脱离罪恶.,yuàn shàng dì zhěng jiù wǒ men tuō lí zuì è.
This computer has a 256K memory.,3,这台计算机的内存是256K。,zhè tái jì suàn jī de nèi cún shì256K。
What did John do on New Year's Day?,3,约翰在元旦做了什么事？,Yuē hàn zài yuán dàn zuò le shén me shì？
The crops failed because of drought.,3,"由於乾旱, 农作物歉收.","yóu yū qián hàn,  nóng zuò wù qiàn shōu."
The symptoms manifested themselves ten days later.,3,十天後出现了症状.,shí tiān後 chū xiàn le zhèng zhuàng.
Radium and uranium are radioactive elements.,3,镭和铀是放射性元素.,léi huò yóu shì fàng shè xìng yuán sù.
Do you agree to the wave theory of light?,3,你同意光的波动理论吗？,nǐ tóng yì guāng de bō dòng lǐ lùn ma？
I detest all affectation.,3,我厌恶一切矫揉造作的行为.,wǒ yàn wù yī qiè jiǎo róu zào zuò de xíng wéi.
The crowd linked arms to form a barrier.,3,群众臂挽著臂组成人墙.,qún zhòng bì wǎn著 bì zǔ chéng rén qiáng.
The cheese was emitting a strong smell.,3,干酪散发出强烈的气味。,gān lào sàn fā chū qiáng liè de qì wèi。
Where's my navy (blue) suit?,3,我那套海军蓝的西装在哪儿?,wǒ nà tào hǎi jūn lán de xī zhuāng zài nǎ r?
"I've got a sore throat,' he wheezed.",3,"｀我嗓子疼,＇他吃力地说.","｀ wǒ sǎng zi téng,＇ tā chī lì de shuō."
The soil is enriched with nitrates.,3,土壤里施了硝酸盐肥料。,tǔ rǎng lǐ shī le xiāo suān yán féi liào。
Hot steel is quenched to harden it.,3,烧热的钢淬火使它坚硬。,shāo rè de gāng cuì huǒ shǐ tā jiān yìng。
The plans were finally put into execution.,3,这些计划终於得以实施.,zhè xie jì huà zhōng yū dé yǐ shí shī.
Will you help me take the curtains down?,3,你能帮我把帘幕取下来吗?,nǐ néng bāng wǒ bǎ lián mù qǔ xia lai ma?
Gazelles can move with astonishing velocity.,3,羚羊跑起来速度惊人。,líng yáng pǎo qǐ lai sù dù jīng rén。
Could you spell that word out for me again?,3,那个字你再拼一遍好吗？,nèi gè zì nǐ zài pīn yī biàn hào ma？
Held in bondage; enslaved.,3,被束缚的受奴役的；被征服的,bèi shù fù de shòu nú yì de； bèi zhēng fú de
Not pure or clean; contaminated.,3,不纯洁或不干净的；污染的,bù chún jié huò bù gān jìng de； wū rǎn de
A rolling stone gathers no moss.,3,滚石不生苔；转业不聚财。,gǔn shí bù shēng tái； zhuàn yè bù jù cái。
This is what comes of being over-confident.,3,这就是过於自信的结果.,zhè jiù shì guò yū zì xìn de jié guǒ.
She has written a book on (the) dance.,3,她写了一本关於舞蹈的书.,tā xiě le yī běn guān yū wǔ dǎo de shū.
It is how laughable to this name of dog!,3,给狗起这个名字多可笑！,jǐ gǒu qǐ zhè gè míng zi duō kě xiào！
Her Aunt Effie is certainly an original.,3,她的姨妈埃菲真是个怪人.,tā de yí mā āi fēi zhēn shì gè guài rén.
The lane was rutted with tyre tracks.,3,这小巷有车胎轧出的凹痕.,zhè xiǎo xiàng yǒu jū tāi yà chū de āo hén.
There are rows of tents at the foot of the mountain.,3,山脚下有几排帐篷。,shān jiǎo xià yǒu jǐ pǎi zhàng peng。
A fall of such water; a rainstorm.,3,骤雨这种水的下降；暴雨,zhòu yǔ zhè zhǒng shuǐ de xià jiàng； bào yǔ
She swung the rucksack (up) onto her back.,3,她把帆布背包转到身後.,tā bǎ fán bù bēi bāo zhuàn dào shēn後.
The rumba is a Latin-American dance.,3,伦巴舞是拉丁美洲的舞蹈.,lún bā wǔ shì Lā dīng měi zhōu de wǔ dǎo.
This express way was built in 1985.,3,这条高速公路建于1985年。,zhè tiáo gāo sù gōng lù jiàn yú1985 nián。
Who was (the) emcee of the show last night?,3,谁是昨晚节目的主持人?,shéi shì zuó wǎn jié mù de zhǔ chí rén?
Can you measure accurately with this ruler?,3,用这把尺子能量得准吗?,yòng zhè bǎ chǐ zi néng liàng de zhǔn ma?
His new book will be appearing in the spring.,3,他的新著将於春季问世.,tā de xīn著 jiàng yū chūn jì wèn shì.
A line of darker water beyond the reef.,3,礁石外深色水域分界线,jiāo shí wài shēn shǎi shuǐ yù fèn jiè xiàn
"Sharp, spasmodic pains in the bowels.",3,肠绞痛肠内痉挛性剧痛,cháng jiǎo tòng cháng nèi jìng luán xìng jù tòng
Somebody'slurking in the bushes.,3,有人在灌木丛里窥视动静.,yǒu rén zài guàn mù cóng lǐ kuī shì dòng jìng.
She feels (she's been) rather hard done by.,3,她觉得（自己）有点委屈.,tā jué de（ zì jǐ） yǒu diǎn wěi qū.
The river twines through the valley.,3,这条河流蜿蜒穿过山谷。,zhè tiáo hé liú wān yán chuān guò shān gǔ。
The paper has wrinkled where it got wet.,3,这张纸湿的地方起皱褶了.,zhè zhāng zhǐ shī de dì fang qǐ zhòu zhě le.
Can you change a five-pound note?,3,你能换开五英镑的票子吗？,nǐ néng huàn kāi wǔ yīng bàng de piào zi ma？
Frogs and newts are amphibians.,3,青蛙和蝾螈都是两栖动物.,qīng wā huò róng yuán dōu shì liǎng qī dòng wù.
Tadpoles are the infancy form of frogs.,3,蝌蚪是青蛙的幼年形态。,kē dǒu shì qīng wā de yòu nián xíng tài。
Get a load of that old bloke with the funny hat!,3,你瞧那戴怪帽子的家伙!,nǐ qiáo nà dài guài mào zi de jiā huo!
The head of state was deposed by the army.,3,国家元首被军队废黜了。,guó jiā yuán shǒu bèi jūn duì fèi chù le。
He is repentant of his folly.,3,他对自己的愚蠢行为而懊恼。,tā duì zì jǐ de yú chǔn xíng wéi ér ào nǎo。
What's the set-up (like) in your company?,3,你们公司的机构是怎样的?,nǐ men gōng sī de jī gòu shì zěn yàng de?
I'd rather go hungry than eat that!,3,我宁可挨饿也不吃那种东西!,wǒ nìng kě ái è yě bù jí nà zhòng dōng xi!
The duke wrote a letter with a quill pen.,3,公爵用一根羽毛笔写信。,gōng jué yòng yī gēn yǔ máo bǐ xiě xìn。
He is a man of subtle and refined sensibility.,3,他是个感情细腻的男子。,tā shì gè gǎn qíng xì nì de nán zǐ。
Better to wear out than rust out.,3,【谚】与其锈坏，不如用坏。,【 yàn】 yǔ qí xiù huài， bù rú yòng huài。
We met (each other) quite by chance.,3,我们（彼此）相遇纯属偶然.,wǒ men（ bǐ cǐ） xiāng yù chún shǔ ǒu rán.
The bolt sheared (off) and the wheel came off.,3,"螺栓折了, 轮子脱了出来.","luó shuān zhé le,  lún zi tuō le chū lai."
The head of state was deposed by the army.,3,国家元首被陆军废黜了。,guó jiā yuán shǒu bèi lù jūn fèi chù le。
Michelangelo carved in marble.,3,米开朗琪罗在大理石上雕刻.,mǐ kāi lǎng qí luó zài dà lǐ shí shàng diāo kè.
Be it possible to stop over at beirut?,3,可以中途在贝鲁特停留吗？,kě yǐ zhōng tú zài bèi lǔ tè tíng liú ma？
They exchanged a final kiss before parting.,3,他们最後相互亲吻而分离.,tā men zuì後 xiāng hù qīn wěn ér fēn lí.
The doors of the palace were made of beaten gold.,3,宫殿的门由金箔做成。,gōng diàn de mén yóu jīn bó zuò chéng。
The Normans conquered England in 1066.,3,诺曼人於1066年征服了英国.,nuò màn rén yū1066 nián zhēng fú le Yīng guó.
Her prose is far too mannered and self-conscious.,3,她的散文过於矫揉造作.,tā de sǎn wén guò yū jiǎo róu zào zuò.
Have you received our remittance?,3,你方是否已收到我方汇款？,nǐ fāng shì fǒu yǐ shōu dào wǒ fāng huì kuǎn？
These criminals are the dregs of society.,3,这些罪犯都是社会的渣滓。,zhè xie zuì fàn dōu shì shè huì de zhā zǐ。
Little drops of water make the mighty ocean.,3,【谚】涓滴之水汇成洋。,【 yàn】 juān dī zhī shuǐ huì chéng yáng。
Does this train go right through to London?,3,这列火车是否直达伦敦？,zhè liè huǒ chē shì fǒu zhí dá lún dūn？
Is/Are porridge oats on the breakfast menu?,3,早餐的食谱上有燕麦粥吗?,zǎo cān de shí pǔ shàng yǒu yàn mài zhōu ma?
She came into a fortune when her uncle died.,3,她叔叔死後她继承了财产.,tā shū shu sǐ後 tā jí chéng le cái chǎn.
Can you document these claims?,3,你能为这些要求提供证件吗?,nǐ néng wèi zhè xie yāo qiú tí gōng zhèng jiàn ma?
Mary is not eligible for an award.,3,玛丽没有申请助学金的资格.,Mǎ lì méi yǒu shēn qǐng zhù xué jīn de zī gé.
Milk bottle tops are made of tin foil.,3,牛奶瓶盖是用锡箔制成的。,niú nǎi píng gě shì yòng xí bó zhì chéng de。
We have a precipitous climb to the peak.,3,我们向着陡峭山顶攀登。,wǒ men xiàng zhuó dǒu qiào shān dǐng pān dēng。
His obstinacy drives me mad!,3,他顽固不化把我气得火冒三丈!,tā wán gù bù huà bǎ wǒ qì de huǒ mào sān zhàng!
Are we the puppets of fate?,3,我们是听任命运摆布的傀儡吗？,wǒ men shì tìng rèn mìng yùn bǎi bù de kuǐ lěi ma？
The ground was pitted by the heavy rain.,3,大雨使场地变得坑坑洼洼。,dà yǔ shǐ chǎng dì biàn de kēng kēng wā wā。
What is the book you are poring over this afternoon?,3,今天下午你读的什么书?,jīn tiān xià wǔ nǐ dú de shén me shū?
The prison gate clanged shut.,3,监狱的大门哐当一声关上了。,jiān yù de dà mén哐 dàng yī shēng guān shàng le。
The child has eaten three platefuls of porridge!,3,这孩子已经喝了三盘粥了!,zhè hái zi yǐ jīng hè le sān pán zhōu le!
Her illness had left her looking pale and thin.,3,她病後显得苍白、 清瘦.,tā bìng後 xiǎn de cāng bái、  qīng shòu.
When is the expiration of your driving license?,3,你的驾驶执照何时到期？,nǐ de jià shǐ zhí zhào hé shí dào qī？
He was embarrassed by many debts.,3,他被很多债务弄得焦灼不安。,tā bèi hěn duō zhài wù nòng de jiāo zhuó bù ān。
The cuckoo lays its eggs in other birds' nests.,3,杜鹃在别的鸟巢中产卵.,dù juān zài bié de niǎo cháo zhōng chǎn luǎn.
Be there any blood or mucus in your stool?,3,你的大便里有血或粘液吗？,nǐ de dà biàn lǐ yǒu xuè huò zhān yè ma？
He ran like fury to catch the bus.,3,他拚命奔跑去追赶公共汽车.,tā pīn mìng bēn pǎo qù zhuī gǎn gōng gòng qì chē.
Where will I find brave men to guard the four corners of my land?,3,安得猛士兮守四方？,ān de měng shì xī shǒu sì fāng？
We're into a whole new ball game.,3,我们正处於一种全新的局面.,wǒ men zhèng chù yū yī zhòng quán xīn de jú miàn.
Who are you going to pick for the team?,3,你打算挑选谁参加这个队?,nǐ dǎ suàn tiāo xuǎn shéi cān jiā zhè gè duì?
The hot water shrank my pullover.,3,我的套头毛衣遇热水後收缩了.,wǒ de tào tou máo yī yù rè shuǐ後 shōu suō le.
They feasted their guests with delicacies.,3,他们用美味佳肴款待客人.,tā men yòng měi wèi jiā yáo kuǎn dài kè ren.
Flames jetted out (of the nozzles).,3,火焰（从喷嘴中）喷出来了.,huǒ yán（ zòng pèn zuǐ zhòng） pèn chū lái le.
You look ghastly; are you all right?,3,"你脸色很难看, 是不舒服了吗?","nǐ liǎn sè hěn nán kàn,  shì bù shū fu le ma?"
The tennis umpire wore an eye-shade.,3,那网球裁判戴著遮光帽檐。,nà wǎng qiú cái pàn dài著 zhē guāng mào yán。
A strong to vivid red.,3,胭脂红一种强烈到鲜明的红色,yān zhī hóng yī zhòng qiáng liè dào xiān míng de hóng sè
The comic scenes in the play were overdone.,3,这剧的滑稽场面太夸张了.,zhè jù de huá ji chǎng miàn tài kuā zhāng le.
Hedges have eyes and walls have ears.,3,【谚】篱笆有眼，墙壁长耳。,【 yàn】 lí bā yǒu yǎn， qiáng bì zhǎng ěr。
Such a strict law is not easily enforceable.,3,这样严竣的法令不易实施.,zhè yàng yán jùn de fǎ lìng bú yì shí shī.
Pretending to faint was merely (an) artifice.,3,假装昏迷只不过是个诡计.,jiǎ zhuāng hūn mí zhǐ bù guò shì gè guǐ jì.
Our stock of food is greatly depleted.,3,我们的食物储备已消耗殆尽.,wǒ men de shí wù chǔ bèi yǐ xiāo hào dài jìn.
The prince remained loyal throughout.,3,王子自始至终忠贞不渝。,wáng zǐ zì shǐ zhì zhōng zhōng zhēn bù yú。
I am broiling in this hot sun!,3,这热辣辣的太阳快把我烤焦了！,zhè rè là là de tài yáng kuài bǎ wǒ kǎo jiāo le！
The statue was carved (out of stone).,3,这座像是（用石头）雕刻的.,zhè zuò xiàng shì（ yòng shí tou） diāo kè de.
One of hostesses on tonight's show is Mary.,3,今晚的女主持之一是玛丽。,jīn wǎn de nu:3 zhǔ chí zhī yī shì Mǎ lì。
The Queen disrobed after the ceremony.,3,女王在仪式过後脱去了王袍.,nu:3 wáng zài yí shì guò後 tuō qù le wáng páo.
Is this reference book of any use to me?,3,这本参考书对我有用处吗？,zhè běn cān kǎo shū duì wǒ yǒu yòng chù ma？
Gazelles can movewith astonishing velocity.,3,羚羊跑起来有时速度惊人.,líng yáng pǎo qǐ lai yǒu shí sù dù jīng rén.
"As for you, you ought to be ashamed of yourself.",3,"至於你, 你应该感到惭愧.","zhì yū nǐ,  nǐ yīng gāi gǎn dào cán kuì."
The bombs razed the building to the ground.,3,炸弹把那座建筑夷为平地。,zhà dàn bǎ nà zuò jiàn zhù yí wèi píng dì。
The farmers are out harvesting (the corn).,3,农民们在地里收割（作物）.,nóng mín men zài de lǐ shōu gē（ zuò wù）.
Is a large head indicative of high intelligence?,3,头大是不是表示智慧高？,tou dà shì bú shì biǎo shì zhì huì gāo？
The model plane got out of control and crashed.,3,模型飞机失控坠落下来。,mó xíng fēi jī shī kòng zhuì luò xia lai。
He ran like fury to catch the bus.,3,他拚命奔跑去追赶公共汽车.,tā pīn mìng bēn pǎo qù zhuī gǎn gōng gòng qì chē.
They cuddled up (together) under the blanket.,3,他们盖著毯子（在一起）搂著.,tā men gě著 tǎn zi（ zài yī qǐ） lǒu著.
What's the speed of the film you're using?,3,你用的胶卷感光度是多少?,nǐ yòng de jiāo juān gǎn guāng dù shì duō shao?
Don't digress (from the subject) when lecturing.,3,讲课时不要岔开（主题）.,jiǎng kè shí bù yào chà kāi（ zhǔ tí）.
Should a soldier value honour above life?,3,军人应视荣誉重於生命吗?,jūn rén yìng shì róng yù zhòng yū shēng mìng ma?
He's a tramp and used to living rough.,3,他是流浪汉，惯於风餐雨卧。,tā shì liú làng hàn， guàn yū fēng cān yǔ wò。
This dish of parsnip tastes strange.,3,这盘欧防风做的菜味道很怪。,zhè pán ōu fáng fēng zuò de cài wèi dao hěn guài。
Having the form of a bow; curved.,3,拱形的具有弓的形式的；弯曲的,gǒng xíng de jù yǒu gōng de xíng shì de； wān qǔ de
I had a browse through the books on the shelf.,3,我浏览了一遍书架上的书。,wǒ liú lǎn le yī biàn shū jià shàng de shū。
Cheers greeted the arrival of the Queen.,3,一片欢呼声欢迎女王莅临.,yī piàn huān hū shēng huān yíng nu:3 wáng lì lín.
The child cuddled her doll (to her chest).,3,那孩子（怀里）抱著玩具娃娃.,nà hái zi（ huái lǐ） bào著 wán jù wá wa.
Belgium has been called the cockpit of Europe.,3,比利时被称作欧洲战场。,bǐ lì shí bèi chèng zuò ōu zhōu zhàn chǎng。
The villagers shored up sagging huts.,3,村民们撑起摇摇欲坠的茅棚。,cūn mín men chēng qǐ yáo yáo yù zhuì de máo péng。
The water slowly emptied (from the cistern).,3,水（从贮水池）缓缓流出.,shuǐ（ zòng zhù shuǐ chí） huǎn huǎn liú chū.
He's had some bad news: his father has died suddenly.,3,他得悉噩耗: 父亲突然去世.,tā de xī è hào:  fù qīn tū rán qù shì.
I'd like some shrimp-roe soy sauce with it.,3,我希望用些虾子酱蘸着吃。,wǒ xī wàng yòng xiē xiā zi jiàng zhàn zhuó jí。
Can you put an end to that kind of gossip?,3,你能不能别再说那种闲话?,nǐ néng bù néng biè zài shuō nà zhòng xián huà?
"We bought some books, clothes, etc.",3,我们买了一些书籍、衣服等等。,wǒ men mǎi le yī xiē shū jí、 yī fu děng děng。
The children were scampering around the garden.,3,孩子们在花园里嬉戏奔跑。,hái zi men zài huā yuán lǐ xī xì bēn pǎo。
It was very hard luck (on you) to get ill on your holiday.,3,（你）假期得病真倒霉.,（ nǐ） jià qī dé bìng zhēn dǎo méi.
By perseverance the lame boy learned to swim.,3,靠毅力这跛童学会了游泳。,kào yì lì zhè bǒ tóng xué huì le yóu yǒng。
I can smell gas -- is the oven on?,3,我闻到煤气味了--烤箱开著呢吧?,wǒ wén dào méi qì wèi le-- kǎo xiāng kāi著 ne ba?
Can you make out what that sign says?,3,你看得见牌子上写的是什麽吗?,nǐ kàn de xiàn pái zi shàng xiě de shì shí mó ma?
Many politicians are cunning sophists.,3,许多政客都是狡猾的诡辩家.,xǔ duō zhèng kè dōu shì jiǎo huá de guǐ biàn jiā.
Is there a right of way across these fields?,3,人们有权通过这些田地吗？,rén men yǒu quán tōng guò zhè xie tián dì ma？
Is it cruel to confine a bird in a cage?,3,把鸟关在笼子里残忍不残忍?,bǎ niǎo guān zài lóng zi lǐ cán rěn bù cán rěn?
Is the film in colour or black and white?,3,这胶卷是彩色的还是黑白的?,zhè jiāo juān shì cǎi sè de hái shì hēi bái de?
I know nothing about computer hardware.,3,我对计算机硬件一窍不通。,wǒ duì jì suàn jī yìng jiàn yī qiào bù tōng。
He said how glorious the sunset was.,3,他说日落是多麽的辉煌灿烂。,tā shuō rì luò shì duō mó de huī huáng càn làn。
They are the products of post-war affluence.,3,他们是战後富裕生活的产物.,tā men shì zhàn後 fù yù shēng huó de chǎn wù.
What prompted him to be so generous?,3,是什麽原因使得他如此 大方呢?,shì shí mó yuán yīn shǐ de tā rú cǐ  dà fāng ne?
